C1=CC(C(C(=C1)C(=O)O)O)O
CC(CN)O
C(C(=O)COP(=O)(O)O)N
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl
CCC(C)(C(C(=O)O)O)O
C(CCl)Cl
C1=C(C=C(C(=C1O)O)O)O
C1=CC(=C(C=C1Cl)Cl)Cl
C1CCC(=O)NCCCCCC(=O)NCC1
C1C=CC(=NC1C(=O)O)C(=O)O
C1=CC(=C(C(=C1)O)O)C(=O)O
C1=CC(=C(C(=C1)O)O)CCC(=O)O
CC(=O)C(C)(C(=O)O)O
C(C=O)Cl
C(CCl)O
CC(C)(CO)C(=O)C(=O)O
CC1(COC(=O)C1=O)C
C1C(C(C(OC1O)CO)O)O
C(CC(=O)O)C(C(=O)O)O
C(C(=O)O)(C(=O)O)O
CCC(C)C(=O)C(=O)O
C(CC(=O)N)C(=O)C(=O)O
CC(C)C(=O)C(=O)O
C(C(C(C(C(=O)C(=O)O)O)O)O)O
C(CC(=O)O)C(=O)C(=O)O
CC(C(=O)C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
CCC(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
CCC(=O)C(=O)O
C1=C(C(C=C(C1O)Cl)Cl)Cl
C1=C(C(C=C(C1O)Cl)O)Cl
C1=C(C(=CC(=C1Cl)O)Cl)O
C1=CC(=C(C=C1Cl)O)Cl
CC(=O)C=CC=C(C(=O)O)O
CC(C)CC(=O)C(=O)O
C(CC(=O)C(=O)O)CC(=O)O
C1=CC(=C(C=C1C(=O)O)O)O
C(CN)C=O
C1=CC(=CN=C1)C#N
C1=CC(=C(C(=C1)O)N)C(=O)O
CC(CO)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
C1=CC(=C(C(=C1)O)N)C(=O)CC(C(=O)O)N
C1=CC(=CC(=C1)O)CCC(=O)O
C(CC(=O)O)C(=O)CC(=O)O
CC(=O)CC(=O)O
C(C(=O)C(=O)O)S
C1=CC(=CC(=C1)O)C=O
C1=CC(=CC(=C1)O)CO
C1C=C(OC1=O)CC(=O)O
C(C(=O)C(=O)O)OP(=O)(O)O
C1=CC=C(C=C1)CCC(=O)O
C1=CC(=CN=C1)CC(=O)O
C(C(=O)C(=O)O)S(=O)O
C(CNC(=O)N)C(=O)O
C1=CC(=CN=C1)CCCC(=O)O
C1=NC(=C(N1)C(=O)O)N
C(CC=O)CN
C(CC(=O)O)CN
C(CC(=O)N)CN=C(N)N
C1=CC(=CC=C1CO)O
C1=CC(=CC=C1C=O)O
C1=CC(=CC=C1CC(=O)O)O
C1=NC(C(=O)N1)CCC(=O)O
CC(C)CCC=O
C(C(=O)C(=O)O)C(CC(=O)O)(C(=O)O)O
C[N+](C)(C)CCCC=O
C[N+](C)(C)CCCC(=O)O
C1=CC(=CC=C1C(=O)O)O
C(CC(=O)O)C(=O)CN
C(CCN)CC(=O)O
C1=NC(=C(N1)C(=O)O)NC(=O)N
C1CNC2=NC=NC=C2N1
C(C(=O)C(C(C(C(=O)O)O)O)O)O
CC(=O)C(=O)C1CNC2C(N1)C(=O)NC(=N2)N
C1CN=C2C(=N1)C=NC=N2
CC(C(=O)CCCCCC(=O)O)N
C(CO)O
CC(=O)O
CC=O
CC(=O)N
CC(C(=O)C)O
CC(=O)C
CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCOP(=O)(O)OP(=O)(O)OC1C(C(C(C(O1)CO)O)O)NC(=O)C)C)C)C)C)C)C)C)C)C)C)C
CC(=O)OP(=O)(O)O
CC(=O)OCC[N+](C)(C)C
C1=NC2=NC=NC(=C2N1)N
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)O)O)O)O)O)N
C(CCC(=O)O)CC(=O)O
C(CCN=C(N)N)CN
C(C(=O)O)(NC(=O)N)NC(=O)N
C1(C(=O)NC(=O)N1)NC(=O)N
CC(=O)CN
CC1=NC=C(C(=N1)N)COP(=O)(O)O
CC1=NC=C(C(=N1)N)COP(=O)(O)OP(=O)(O)O
CCOP(=S)(OCC)OC1=CC=C(C=C1)N
N
C1=CC=C(C(=C1)C(=O)O)N
O[As](=O)(O)O
CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC
C(CN)C(=O)O
C1=CC=C(C=C1)C=O
C1=CC=CC=C1
C1=CC=C(C=C1)C(=O)O
C1=CC=C(C=C1)CO
C[N+](C)(C)CC(=O)O
C[N+](C)(C)CC=O
C1=CC=C(C=C1)C2=C(C(=CC=C2)O)O
C1=CC(=CC=C1[N+](=O)[O-])OP(=O)(O)OC2=CC=C(C=C2)[N+](=O)[O-]
Br
CCCC=O
CC(C(C)O)O
CCCCO
CCCC(=O)O
CCCC(=O)OP(=O)(O)O
[Ca+2]
C(CCN)CCN
C(=O)(N)O
C(=O)(N)OP(=O)(O)O
C(=O)=O
[C-]#[O+]
C(=O)O
C(C(=O)O)ON
C1=CC=C(C(=C1)O)O
CC(C=O)C(=O)O
C
C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl
C(C(=O)O)Cl
C1=CC(=C(C=C1O)Cl)O
C[N+](C)(C)CCO
C(C(=CC(=O)O)C(=O)O)C(=O)O
C(C(=O)O)C(CC(=O)O)(C(=O)O)O
Cl
CC1=C2CC3=C(C(=C(N3)CC4=C(C(=C(N4)CC5=C(C(=C(N5)CC(=C1CCC(=O)O)N2)C)CCC(=O)O)C)CCC(=O)O)CCC(=O)O)C
C1=CC=C2C(=C1)C=CC(=O)O2
CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C=CC4=CC=C(C=C4)O)O
CC(C)C1=CC=C(C=C1)CO
CC(C)C1=CC=C(C=C1)C=O
C1=CC(=CC=C1C(C(=O)O)O)O
COC1=C(C=CC(=C1)C=C)O
CC1=CC=CC=C1O
C1=CC=C(C(=C1)C(=O)O)O
C(CP(=O)(O)O)N
CC1=C(C(=CC=C1)O)O
C1=C(C=C(C(=C1O)O)O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)O
CC1=CC(=CC=C1)O
C1=CC(=CC=C1C(=O)C(=O)O)O
CCCCCCCC
C1=C(C(C=C(C1Cl)Cl)Cl)Cl
C1=C(C=C(C=C1O)O)O
C1C(CC(=O)C=C1O)O
C(C=O)N
CC1=CC(=O)OC2=C1C=CC(=C2)OC(=O)C
C(CCNCCCCN)CN
C1=C(C=C(C(=C1O)O)O)C(=O)O
C(#CC(=O)O)C(=O)O
C1=C(C=C(OC1=O)C(=O)O)C(=O)O
CC(=O)CC(CC(=O)O)O
C1=CC(=CC=C1[N+](=O)[O-])OP(=O)(O)O
CCCCCCCC(=O)O
CCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
C(CCC(=O)O)CCC(=O)O
C1=CC=C2C(=C1)C(=CN2)CC(=O)N
CC(C)[N+](=O)[O-]
C1=CC=C(C(=C1)C=O)NC=O
S
C1=CC(=CC=C1N)O
OP(=O)O
C[N+]1(CCCC1C2=CN=CC=C2)[O-]
CN1C(CCC1=O)C2=C[N+](=CC=C2)C3C(C(C(C(O3)C(=O)O)O)O)O
C1CC(NC1)C2=CN=CC=C2
C1CC(=O)NC1C2=CN=CC=C2
C(CCC(=O)O)CC(CCS)S
C(CN)CN
C[N+]1=CCCC1C2=CN=CC=C2
CNCCCC(=O)C1=CN=CC=C1
C1=CC(=CN=C1)C(=O)CCC(=O)N
